WIFIAPTag,passengerCount,timeStamp
W1-2C-6<W1-2-06>,1,2016-09-16-07-02-01
E1-3A<E1-3-03>,8,2016-09-20-17-41-01
W3-3B-5<W3-3-22>,4,2016-09-15-08-17-01
EC-1D-4<EC-1-03>,0,2016-09-25-01-07-01
WC-3B<WC-2-07>,1,2016-09-18-12-55-01
E2-3B<E2-3-08>,5,2016-09-11-13-32-04
T1-1C<T1-1C-05>,1,2016-09-15-09-32-01
WC-2A<WC-2-03>,1,2016-09-11-05-04-01
T1-3L-3<T1-3-91>,8,2016-09-16-19-23-01
T1-3C-3<T1-3-20>,3,2016-09-19-13-10-01
E1-3B<E1-3-28>,8,2016-09-21-17-24-01
W2-3A-3<W2-3-03>,2,2016-09-17-10-35-01
WC-3G<WC-3G-03>,5,2016-09-13-07-54-02
WC-2C<WC-2C-07>,6,2016-09-13-14-54-02
WC-2C<WC-2C-13>,0,2016-09-11-07-01-01
WC-2C<WC-2C-14>,0,2016-09-19-01-46-01
E1-3A<E1-3-09>,3,2016-09-18-18-53-01
EC-1I<EC-1I-06>,0,2016-09-16-04-39-01
WC-2C<WC-2C-03>,0,2016-09-20-23-02-01
W1-3C-10<W1-3-23>,2,2016-09-24-12-49-01
